F,W,Z,Down,Up
125,7,2,0.20270270270270274,0.868421052631579
17,11,2,0.0,0
29,11,2,0.0641025641025641,0.28289473684210525
41,11,2,0.38227848101265827,0.5128205128205128
53,11,2,0.2558139534883721,0.6075949367088608
65,11,2,0.2727272727272727,0.7441860465116279
77,11,2,0.6206896551724138,0.6931818181818182
89,11,2,0.532520325203252,0.6108374384236454
101,11,2,0.487012987012987,0.8292682926829268
113,11,2,0.39574468085106385,0.8181818181818182
125,11,2,0.1578947368421053,0.8297872340425532
17,15,2,0.0,0
29,15,2,0.10439560439560436,0.18427518427518427
41,15,2,0.31773399014778325,0.45054945054945056
53,15,2,0.39779005524861877,0.6502463054187192
65,15,2,0.4538461538461539,0.6961325966850829
77,15,2,0.5052083333333333,0.6307692307692307
89,15,2,0.4130434782608695,0.609375
101,15,2,0.4696132596685083,0.717391304347826
113,15,2,0.3607594936708861,0.7624309392265194
125,15,2,0.11111111111111116,0.8607594936708861
29,19,2,0.0,0
41,19,2,0.22399999999999998,0.34502923976608185
53,19,2,0.5139318885448916,0.6533333333333333
65,19,2,0.3564356435643564,0.6563467492260062
77,19,2,0.527027027027027,0.5891089108910891
89,19,2,0.5283842794759825,0.6846846846846847
101,19,2,0.30434782608695654,0.777292576419214
113,19,2,0.3125,0.8478260869565217
125,19,2,0.14102564102564108,0.734375
29,23,2,0.0,0
41,23,2,0.2777777777777778,0.3417085427135678
53,23,2,0.45019920318725104,0.5444444444444444
65,23,2,0.5659574468085107,0.5856573705179283
77,23,2,0.4854368932038835,0.6382978723404256
89,23,2,0.5866666666666667,0.6844660194174758
101,23,2,0.21276595744680848,0.6
113,23,2,0.29605263157894735,0.7819148936170213
125,23,2,0.22685185185185186,0.8289473684210527
29,27,2,0.0,0
41,27,2,0.22535211267605637,0.25
53,27,2,0.48104265402843605,0.5234741784037559
65,27,2,0.5878136200716846,0.5971563981042654
77,27,2,0.4334763948497854,0.5663082437275986
89,27,2,0.6911764705882353,0.6995708154506438
101,27,2,0.3982300884955752,0.5220588235294118
113,27,2,0.1282051282051282,0.668141592920354
125,27,2,0.1515151515151515,0.7435897435897436
41,31,2,0.0,0
53,31,2,0.375,0.37407407407407406
65,31,2,0.5945378151260504,0.625
77,31,2,0.5811965811965811,0.6239495798319328
89,31,2,0.6024844720496895,0.6581196581196581
101,31,2,0.34962406015037595,0.39751552795031053
113,31,2,0.14035087719298245,0.7142857142857143
125,31,2,0.18181818181818177,0.8070175438596491
41,35,2,0.0,0
53,35,2,0.15384615384615385,0.40425531914893614
65,35,2,0.5305343511450382,0.5769230769230769
77,35,2,0.5374331550802138,0.5648854961832062
89,35,2,0.4416243654822335,0.5454545454545454
101,35,2,0.215311004784689,0.4416243654822335
113,35,2,0.14937759336099588,0.7368421052631579
125,35,2,0.09482758620689657,0.7634854771784232
41,39,2,0.0,0
53,39,2,0.18604651162790697,0.4217506631299735
65,39,2,0.5984251968503937,0.22945736434108527
77,39,2,0.48351648351648346,0.4881889763779528
89,39,2,0.3803921568627451,0.31868131868131866
101,39,2,0.19791666666666663,0.5294117647058824
113,39,2,0.09210526315789469,0.734375
125,39,2,0.1333333333333333,0.8157894736842105
53,43,2,0.0,0
65,43,2,0.4748743718592965,0.28346456692913385
