F,W,Up,Down
187,49,0.5407725321888412,0.6638655462184874
55,53,0.0,NaN
67,53,0.14520547945205475,0.3717434869739479
79,53,0.33333333333333337,0.2054794520547945
91,53,0.34022556390977443,0.8333333333333334
103,53,0.5046439628482973,0.325187969924812
115,53,0.5621181262729125,0.6037151702786377
127,53,0.2833333333333333,0.6252545824847251
139,53,0.5272727272727273,0.7133333333333334
151,53,0.40977443609022557,0.8159090909090909
163,53,0.6192468619246863,0.650375939849624
175,53,0.5390946502057613,0.5857740585774058
187,53,0.47619047619047616,0.6666666666666666
67,57,0.0,NaN
79,57,0.28270042194092826,0.5519713261648745
91,57,0.44628099173553715,0.459915611814346
103,57,0.37229437229437234,0.6157024793388429
115,57,0.5953389830508475,0.5346320346320347
127,57,0.18918918918918914,0.6101694915254238
139,57,0.3247126436781609,0.8378378378378378
151,57,0.4247787610619469,0.7011494252873564
163,57,0.30000000000000004,0.5929203539823009
175,57,0.41025641025641024,0.65
187,57,0.38607594936708856,0.6410256410256411
67,61,0.0,NaN
79,61,0.22388059701492535,0.44123711340206184
91,61,0.2925170068027211,0.6044776119402985
103,61,0.6308243727598566,0.3673469387755102
115,61,0.203125,0.6666666666666666
127,61,0.6379585326953747,0.46875
139,61,0.31343283582089554,0.7017543859649122
151,61,0.6786786786786787,0.5572139303482587
163,61,0.5328185328185329,0.6336336336336337
175,61,0.4342105263157895,0.5868725868725869
187,61,0.5213270142180095,0.6096491228070176
